id,geom,NAME,category,lat,lng,geohash
544,0101000020E610000087B25E434E8752C0635A83D01A081240,Yomaza,Park,4.507914789,-74.1141518,d2g39k
545,0101000020E610000061B444C2428B52C0699A2F5530951240,Parque Bella Vista,Park,4.645692187,-74.17594964,d2g62j
546,0101000020E6100000C58D5BCCCF8352C0ECC1A4F8F8941240,Parque Francia,Park,4.645481,-74.059558,d2g66t
547,0101000020E610000080822EF67F8352C0B3353AABCBAD1240,Smart Fit 85,Gym / Fitness Center,4.669722248,-74.05468516,d2g6df
548,0101000020E6100000760F9281818652C0548EA927DC971240,Plaza de los Alfiles,Plaza,4.648300762,-74.10165443,d2g63y
549,0101000020E6100000D008A5F35C8252C07A7C95439AB21240,La Paloma,Scenic Lookout,4.674416595,-74.03692332,d2g6e4
550,0101000020E6100000659857B7258452C05949934401F01240,Decathlon,Sporting Goods Shop,4.734379837,-74.06480201,d2g6ft
551,0101000020E610000027E1E4B1458452C0D07182738EED1240,H&M,Clothing Store,4.731988721,-74.06675384,d2g6ft
552,0101000020E6100000D1E25DDC3D8452C0A5797F645EEF1240,Falabella,Department Store,4.733758517,-74.06627568,d2g6ft
553,0101000020E6100000334C0EDB658352C07EC8EC37B7AA1240,Centro Comercial Andino,Shopping Mall,4.666714548,-74.05309178,d2g6dc
554,0101000020E6100000DF0A116B928452C082FEE46987901240,Farmatodo,Pharmacy,4.641141562,-74.07143666,d2g66k
555,0101000020E6100000030000583E8452C03C1AFE0A43EE1240,Centro Comercial Parque La Colina,Shopping Mall,4.732677624,-74.06630516,d2g6ft
556,0101000020E610000002000012638752C012CF57E50C871240,Plaza Central Centro Comercial,Shopping Mall,4.631885131,-74.11542177,d2g637
557,0101000020E610000043C51CD8A98252C0C0ECFB6FF6CE1240,Unicentro,Shopping Mall,4.702111959,-74.04161647,d2g6ep
558,0101000020E61000008963E21B678552C0A7A3B43AF2761240,Plaza de Mercado de Paloquemao,Farmers Market,4.616158407,-74.08441827,d2g660
559,0101000020E6100000D10AAD78318652C01F743957238C1240,D1,Big Box Store,4.636853564,-74.09676949,d2g63u
560,0101000020E6100000064226E1738352C0F24DFD2DF1A91240,Centro Comercial El Retiro,Shopping Mall,4.66595909,-74.05394772,d2g6dc
561,0101000020E6100000FFFF208C128852C092753D64F29B1240,H&M,Clothing Store,4.652291838,-74.12613204,d2g63n
562,0101000020E61000004D474F9F0F8752C04096B42742AA1240,PriceSmart Bogotá,Big Box Store,4.666267987,-74.11032851,d2g699
563,0101000020E61000007EAB431A3B8452C0E967CF665A771240,Plaza de Mercado La Perseverancia,Farmers Market,4.616555792,-74.06610734,d2g668
564,0101000020E6100000002A5AFADE8152C0DD60E1DF6AE91240,D1 calle 147,Supermarket,4.727946756,-74.02923449,d2g6gk
565,0101000020E61000006D0F9FF2BF8252C08C2F43CC9BEE1240,Carulla,Supermarket,4.733016197,-74.04296556,d2g6gj
566,0101000020E6100000368E691C038852C0B4A5B81DE79C1240,Falabella,Department Store,4.653225388,-74.12518988,d2g63p
567,0101000020E6100000427B64F7088852C01759F48042B01240,Farmatodo,Pharmacy,4.672128692,-74.12554726,d2g694
568,0101000020E6100000E4BCFF8F138852C06956B60F799B1240,Multiplaza,Shopping Mall,4.651829,-74.126194,d2g63n
569,0101000020E61000004CCDA54A838652C065B30F08EA961240,Centro Comercial Gran Estación,Shopping Mall,4.647377134,-74.1017634,d2g63y
570,0101000020E6100000E2AE5E45468352C00CE6AF90B9C21240,Farmatodo,Pharmacy,4.690161,-74.051164,d2g6dv
571,0101000020E61000003B8EF0B6858652C05AD0FAE8C6931240,Farmatodo,Pharmacy,4.644313469,-74.10191129,d2g63v
572,0101000020E6100000AE528878718252C0B1F6E562CCC31240,Carulla Santa Ana,Supermarket,4.691209359,-74.03817571,d2g6en
573,0101000020E610000046E4A86E4D8352C073D2DF771EC01240,Carulla,Supermarket,4.687616227,-74.05160109,d2g6dv
574,0101000020E610000096796D5F808352C00DA9BF849BCC1240,Carulla,Supermarket,4.699812006,-74.05471025,d2g6dz
575,0101000020E6100000203808CCF48352C04FBAB69365A51240,Agrocampo,Pet Store,4.661520298,-74.06181622,d2g6d8
576,0101000020E6100000878979A5488252C0A1895FACA6E01240,Carulla,Supermarket,4.719385808,-74.03568398,d2g6g7
577,0101000020E6100000E30CEE05338352C08FE4FA64D3B81240,Farmatodo,Pharmacy,4.680493906,-74.04998921,d2g6du
578,0101000020E610000056C587CEA78152C0E3C7C07D39071340,Codabas Norte,Food & Drink Shop,4.757055249,-74.02586711,d2g759
579,0101000020E610000051DE7CC1D38352C0222BDE24F79E1240,Carulla Quinta Camacho,Food & Drink Shop,4.655239655,-74.05979955,d2g66x
580,0101000020E61000005421B750188852C0E7429BECA79B1240,Dollar City,Discount Store,4.652007768,-74.12648409,d2g63n
581,0101000020E6100000D868C269348352C06ECAA798BBAA1240,Carulla,Supermarket,4.666731248,-74.05007404,d2g6dc
582,0101000020E610000066F86EC2C88252C0A75AC359C5C81240,Carulla,Supermarket,4.696065333,-74.04350339,d2g6en
583,0101000020E6100000EC88F3BD238452C08F99877D72F61240,Carulla,Supermarket,4.740671121,-74.06468152,d2g6fx
584,0101000020E6100000EF80FCB6F18252C0BC02D19332D11240,Farmatodo,Pharmacy,4.7042945,-74.0460031,d2g6g0
585,0101000020E610000080669B6BF58252C0CD0343227B0C1340,Santafé Mi Mundo,Shopping Mall,4.762188468,-74.04622927,d2g754
586,0101000020E610000012F97940428352C084F1C44D24D21240,Carulla,Supermarket,4.705216613,-74.05091869,d2g6fb
587,0101000020E6100000B1A464866E8352C03C6B35064F9E1240,Carulla,Supermarket,4.654598329,-74.05362091,d2g66z
588,0101000020E6100000226876C4988652C09650FA28868D1240,Colsubsidio Supermercado Salitre,Market,4.638207093,-74.10307418,d2g63s
589,0101000020E6100000FD0E1B404A8652C0A0AF4E62ED891240,Fruvar,Market,4.634694611,-74.09828189,d2g63g
590,0101000020E6100000CA8CEF77D88252C0A21CFFDBEF041340,Diagnostiyá,Auto Garage,4.754821241,-74.04446219,d2g751
591,0101000020E6100000EDB94C78248452C0E9B1BB69D0911240,OXXO Chapinero,Supermarket,4.642396595,-74.06472595,d2g66t
592,0101000020E610000071EA729FA78352C0BAC86FEA90CB1240,Carulla,Supermarket,4.698794997,-74.05710589,d2g6dz
